date,weekdate,LGE_end,LGE_dpp,LGE_start,LGE_high,LGE_low,LGE_abount
17/01/02,0,51600,0.00,51800,52300,51600,431474
17/01/03,1,54300,5.23,51800,54400,51800,1715000
17/01/04,2,53800,-0.92,54200,54500,53100,1262418
17/01/05,3,53600,-0.37,54000,55700,53400,1428250
17/01/06,4,52600,-1.87,53800,54000,52400,1382362
17/01/09,0,53600,1.90,52300,53600,51200,1555889
17/01/10,1,51800,-3.36,53100,53200,51800,956045
17/01/11,2,52000,0.39,51700,52300,51200,979211
17/01/12,3,53300,2.50,52100,53400,52100,795012
17/01/13,4,52900,-0.75,53100,53500,52500,555164
17/01/16,0,52800,-0.19,52900,53300,51900,681671
17/01/17,1,52400,-0.76,52300,53000,52300,451998
17/01/18,2,53700,2.48,52800,53900,52500,938989
17/01/19,3,54500,1.49,53700,54700,53300,1070070
17/01/20,4,54100,-0.73,54400,54500,54000,432160
17/01/23,0,53400,-1.29,54100,54500,53300,345819
17/01/24,1,54100,1.31,53300,54200,53300,450680
17/01/25,2,54200,0.18,54300,55400,53500,1121403
17/01/26,3,53200,-1.85,55000,55500,53200,1226161
17/01/31,1,55400,4.14,53500,55700,53400,1376669
17/02/01,2,57900,4.51,55800,58000,55800,2286272
17/02/02,3,58300,0.69,58500,59400,57300,1824780
17/02/03,4,58200,-0.17,58700,59100,57400,780014
17/02/06,0,58600,0.69,58800,59100,57700,852582
17/02/07,1,58800,0.34,58900,59300,58200,754879
17/02/08,2,60400,2.72,59000,60400,58600,1795800
17/02/09,3,61500,1.82,60400,61900,60100,1352533
17/02/10,4,61300,-0.33,61800,61900,61200,740823
17/02/13,0,60700,-0.98,61600,62000,59600,1012067
17/02/14,1,61600,1.48,61000,61600,60600,720671
17/02/15,2,62200,0.97,61700,62900,61700,899514
17/02/16,3,62700,0.80,62300,62600,61300,727097
17/02/17,4,61400,-2.07,62600,62700,61200,795235
17/02/20,0,62000,0.98,61100,62100,60700,481297
17/02/21,1,62100,0.16,62100,62800,61900,443630
17/02/22,2,62900,1.29,62700,63000,62300,703290
17/02/23,3,63100,0.32,62900,63300,62200,773393
17/02/24,4,62700,-0.63,63200,63600,62200,825344
17/02/27,0,59000,-5.90,63200,63200,58800,2350933
17/02/28,1,59800,1.36,58700,60000,58200,1519971
17/03/02,3,61600,3.01,60700,62200,60600,1329490
17/03/03,4,62200,0.97,61300,62400,60600,1001078
17/03/06,0,60300,-3.05,61500,62000,59900,959701
17/03/07,1,63300,4.98,61600,63300,61500,1734620
17/03/08,2,64900,2.53,63400,65400,63300,1777042
17/03/09,3,64800,-0.15,65500,65800,64100,1196256
17/03/10,4,64100,-1.08,64200,64800,63800,940025
17/03/13,0,65300,1.87,65000,65700,64500,733138
17/03/14,1,67100,2.76,66700,67400,66600,1602346
17/03/15,2,67800,1.04,67300,67900,66800,891284
17/03/16,3,68100,0.44,68400,68500,67000,916464
17/03/17,4,68900,1.17,67900,69700,67700,1175426
17/03/20,0,67200,-2.47,68500,68600,66700,1130043
17/03/21,1,66900,-0.45,67900,67900,66500,1356321
17/03/22,2,69200,3.44,67300,69600,67300,1353787
17/03/23,3,72000,4.05,70200,72200,70100,2098932
17/03/24,4,72200,0.28,73000,73900,71600,1365959
17/03/27,0,71300,-1.25,72600,72600,70400,868109
17/03/28,1,70700,-0.84,72000,72100,69800,932883
17/03/29,2,70100,-0.85,70400,71000,69200,1062889
17/03/30,3,68100,-2.85,70100,70200,66500,2225859
17/03/31,4,67900,-0.29,68300,68700,66900,1201094
17/04/03,0,68700,1.18,68400,69900,68300,964628
17/04/04,1,68300,-0.58,69200,69200,68000,583153
17/04/05,2,67200,-1.61,68300,69000,66500,1116475
17/04/06,3,70600,5.06,66900,70700,66300,1571616
17/04/07,4,70900,0.42,71200,72200,69800,1754356
17/04/10,0,67900,-4.23,70700,70900,67900,1306155
17/04/11,1,69500,2.36,68100,69800,68100,1032197
17/04/12,2,69100,-0.58,70000,70100,68900,555051
17/04/13,3,69500,0.58,69300,70300,69200,550004
17/04/14,4,68300,-1.73,69000,69000,67800,492819
17/04/17,0,69600,1.90,68700,70200,68700,558900
17/04/18,1,70000,0.57,70000,70300,68900,544965
17/04/19,2,70700,1.00,70700,71500,70100,947412
17/04/20,3,71100,0.57,71300,71400,70400,718589
17/04/21,4,71000,-0.14,71100,71300,70400,581937
17/04/24,0,71700,0.99,71400,72200,71300,551940
17/04/25,1,72200,0.70,72000,72200,71500,545785
17/04/26,2,72700,0.69,72800,72900,72300,640000
17/04/27,3,72300,-0.55,72700,73400,72000,608575
17/04/28,4,69100,-4.43,72000,72100,68700,2295287
17/05/02,1,70400,1.88,69600,71000,69200,1301950
17/05/04,3,71700,1.85,71800,72400,71200,799566
17/05/08,0,77000,7.39,72900,77000,72900,2624129
17/05/10,2,76300,-0.91,77100,78800,75900,1904728
17/05/11,3,79800,4.59,77000,79800,76900,1876649
17/05/12,4,81200,1.75,80200,81300,79300,1589519
17/05/15,0,81000,-0.25,81800,81800,79200,1261164
17/05/16,1,79000,-2.47,81400,82000,78600,1357416
17/05/17,2,80000,1.27,79500,80900,79400,857014
17/05/18,3,79100,-1.13,78800,79700,78500,716864
17/05/19,4,81400,2.91,79600,81400,79400,1094715
17/05/22,0,81600,0.25,82200,82300,81100,585488
17/05/23,1,81100,-0.61,82200,82200,81000,573284
17/05/24,2,82300,1.48,81200,82400,80900,538991
17/05/25,3,82300,0.00,82800,82800,81700,513491
17/05/26,4,81900,-0.49,82300,82400,81300,665382
17/05/29,0,83500,1.95,81700,84300,81700,823722
17/05/30,1,83500,0.00,83700,84100,82300,525707
17/05/31,2,82500,-1.20,83500,83600,82100,714803
17/06/01,3,81300,-1.45,82700,82900,81300,628909
17/06/02,4,86600,6.52,82100,86900,82100,1869364
17/06/05,0,87300,0.81,87700,88900,86900,998730
17/06/07,2,85300,-2.29,86700,87100,84900,1346470
17/06/08,3,86800,1.76,85800,87800,85000,1330511
17/06/09,4,88300,1.73,87500,88800,87300,896973
17/06/12,0,85600,-3.06,86800,87000,85200,1341050
17/06/13,1,85800,0.23,85000,86100,83800,1213895
17/06/14,2,85900,0.12,86400,88000,85400,987899
17/06/15,3,87300,1.63,85900,87700,85300,877550
17/06/16,4,86100,-1.37,87200,87500,85800,737508
17/06/19,0,86200,0.12,86100,86900,84800,662054
17/06/20,1,86000,-0.23,87300,87500,85700,628514
17/06/21,2,85900,-0.12,86000,86300,84100,722785
17/06/22,3,81900,-4.66,85300,86100,81300,2179462
17/06/23,4,84100,2.69,82500,84100,81800,1151493
17/06/26,0,85100,1.19,84600,85500,83600,734655
17/06/27,1,82300,-3.29,84300,84800,82200,1431967
17/06/28,2,79300,-3.65,81900,82000,78500,1989102
17/06/29,3,79700,0.50,80300,81200,79500,1018774
17/06/30,4,80200,0.63,78500,80700,78100,999093
17/07/03,0,80900,0.87,80400,82300,80300,928999
17/07/04,1,79900,-1.24,80500,80800,79600,566386
17/07/05,2,79900,0.00,79900,81300,79400,648725
17/07/06,3,77100,-3.50,80500,80600,76600,1965678
17/07/07,4,73900,-4.15,76400,76400,73800,2330893
17/07/10,0,70800,-4.19,72700,72800,70700,3056226
17/07/11,1,71500,0.99,71300,72000,70000,1546488
17/07/12,2,70800,-0.98,72000,73000,70800,1208011
17/07/13,3,71200,0.56,71300,72500,71000,1363044
17/07/14,4,69500,-2.39,71900,72200,69000,1764528
17/07/17,0,70100,0.86,69900,70400,69700,741053
17/07/18,1,70000,-0.14,70300,70700,69600,660135
17/07/19,2,70500,0.71,70200,71400,70200,1017542
17/07/20,3,69400,-1.56,70900,71200,69200,956192
17/07/21,4,68200,-1.73,69800,70100,68200,1015026
17/07/24,0,67500,-1.03,68200,68400,66700,1417600
17/07/25,1,67500,0.00,67500,68200,67300,838858
17/07/26,2,67900,0.59,67900,68700,67300,1066820
17/07/27,3,66500,-2.06,68200,68300,66300,1371488
17/07/28,4,66700,0.30,66800,67800,66300,1282188
17/07/31,0,67100,0.60,67000,67600,66500,659263
17/08/01,1,68300,1.79,68000,69600,67800,1485811
17/08/02,2,68400,0.15,69200,69500,67300,838130
17/08/03,3,68400,0.00,68900,69200,68100,838838
17/08/04,4,71800,4.97,69000,72100,68800,1976833
17/08/07,0,71600,-0.28,72300,72700,71500,947809
17/08/08,1,71600,0.00,72100,72200,70300,713434
17/08/09,2,71400,-0.28,70700,71500,70500,690037
17/08/10,3,73700,3.22,71400,74100,71400,1796419
17/08/11,4,73400,-0.41,72600,74700,71600,1581856
17/08/14,0,73700,0.41,74200,74700,73000,798565
17/08/16,2,74000,0.41,74000,74500,73100,769023
17/08/17,3,73600,-0.54,74000,74200,73000,662603
17/08/18,4,73000,-0.82,72600,73300,72000,751321
17/08/21,0,75800,3.84,72800,75900,72800,1159623
17/08/22,1,75700,-0.13,76000,76400,75300,697166
17/08/23,2,77500,2.38,76200,78500,76100,1309345
17/08/24,3,77400,-0.13,77800,78000,76600,811372
17/08/25,4,77700,0.39,77800,77900,76800,442385
17/08/28,0,76300,-1.80,77500,77600,75900,553675
17/08/29,1,74400,-2.49,75500,75500,73400,1540731
17/08/30,2,82300,10.62,75500,82400,75200,3932544
17/08/31,3,81500,-0.97,82700,82800,80200,1889427
17/09/01,4,83600,2.58,82900,84300,81000,1944745
17/09/04,0,82700,-1.08,81700,84100,81600,1508080
17/09/05,1,86500,4.59,83300,87000,83300,2612281
17/09/06,2,85300,-1.39,87000,87400,85300,1564911
17/09/07,3,85300,0.00,85900,87100,85000,1268664
17/09/08,4,82500,-3.28,85700,85800,82200,1944947
17/09/11,0,83100,0.73,83300,83600,81500,1501501
17/09/12,1,83000,-0.12,83800,83900,82400,937921
17/09/13,2,87400,5.30,83800,88500,83700,2808612
17/09/14,3,87900,0.57,87700,88300,86600,1709823
17/09/15,4,89500,1.82,87400,91500,87300,2655625
17/09/18,0,91000,1.68,90800,92300,89800,1506118
