date,weekdate,NAVER_end,NAVER_dpp,NAVER_start,NAVER_high,NAVER_low,NAVER_abount
17/01/02,0,777000,0.26,778000,787000,775000,30777
17/01/03,1,767000,-1.29,777000,777000,767000,51766
17/01/04,2,810000,5.61,775000,810000,771000,120359
17/01/05,3,791000,-2.35,810000,810000,791000,68724
17/01/06,4,799000,1.01,791000,801000,786000,50269
17/01/09,0,779000,-2.50,791000,799000,777000,76688
17/01/10,1,792000,1.67,787000,793000,779000,47372
17/01/11,2,796000,0.51,786000,802000,786000,48742
17/01/12,3,802000,0.75,799000,815000,796000,56389
17/01/13,4,790000,-1.50,802000,805000,787000,68231
17/01/16,0,794000,0.51,792000,801000,774000,55042
17/01/17,1,795000,0.13,787000,797000,782000,50942
17/01/18,2,788000,-0.88,800000,800000,787000,55176
17/01/19,3,801000,1.65,787000,806000,787000,67811
17/01/20,4,785000,-2.00,797000,798000,785000,73435
17/01/23,0,771000,-1.78,778000,779000,763000,90668
17/01/24,1,761000,-1.30,771000,771000,760000,106880
17/01/25,2,763000,0.26,763000,768000,760000,119005
17/01/26,3,753000,-1.31,751000,763000,736000,274419
17/01/31,1,758000,0.66,750000,767000,743000,127610
17/02/01,2,771000,1.72,761000,774000,760000,92541
17/02/02,3,772000,0.13,776000,780000,770000,121050
17/02/03,4,774000,0.26,770000,776000,767000,142414
17/02/06,0,779000,0.65,781000,781000,772000,127029
17/02/07,1,800000,2.70,778000,802000,775000,135111
17/02/08,2,795000,-0.63,799000,799000,791000,77643
17/02/09,3,787000,-1.01,788000,796000,783000,102023
17/02/10,4,795000,1.02,795000,795000,787000,67489
17/02/13,0,795000,0.00,800000,803000,788000,59380
17/02/14,1,770000,-3.14,785000,790000,766000,119907
17/02/15,2,773000,0.39,769000,777000,768000,66435
17/02/16,3,777000,0.52,770000,777000,769000,73821
17/02/17,4,780000,0.39,773000,785000,772000,104341
17/02/20,0,781000,0.13,773000,784000,772000,75042
17/02/21,1,790000,1.15,778000,793000,776000,115574
17/02/22,2,797000,0.89,788000,800000,786000,107372
17/02/23,3,808000,1.38,805000,815000,804000,96955
17/02/24,4,803000,-0.62,803000,807000,793000,77173
17/02/27,0,796000,-0.87,800000,807000,792000,33895
17/02/28,1,776000,-2.51,794000,800000,776000,97398
17/03/02,3,815000,5.03,799000,819000,790000,150962
17/03/03,4,809000,-0.74,816000,839000,794000,98302
17/03/06,0,800000,-1.11,810000,817000,795000,57995
17/03/07,1,799000,-0.13,800000,806000,794000,48316
17/03/08,2,800000,0.13,798000,807000,791000,56378
17/03/09,3,789000,-1.38,801000,806000,789000,75785
17/03/10,4,800000,1.39,789000,802000,783000,48907
17/03/13,0,826000,3.25,800000,833000,799000,83464
17/03/14,1,815000,-1.33,827000,833000,811000,94487
17/03/15,2,820000,0.61,817000,826000,810000,40787
17/03/16,3,819000,-0.12,834000,835000,817000,53315
17/03/17,4,827000,0.98,825000,833000,819000,59069
17/03/20,0,818000,-1.09,830000,830000,810000,59293
17/03/21,1,871000,6.48,828000,872000,825000,150195
17/03/22,2,849000,-2.53,870000,871000,846000,79212
17/03/23,3,864000,1.77,860000,872000,851000,80062
17/03/24,4,872000,0.93,864000,880000,864000,55786
17/03/27,0,885000,1.49,865000,892000,865000,60459
17/03/28,1,853000,-3.62,885000,886000,851000,82475
17/03/29,2,864000,1.29,859000,865000,854000,58716
17/03/30,3,861000,-0.35,865000,874000,856000,57075
17/03/31,4,855000,-0.70,861000,870000,854000,50026
17/04/03,0,873000,2.11,855000,878000,843000,54884
17/04/04,1,850000,-2.63,868000,869000,846000,59594
17/04/05,2,843000,-0.82,857000,859000,835000,99674
