date,weekdate,NAVER_RU,NAVER_U,NAVER_UC,NAVER_D,NAVER_RD,NAVER_end,NAVER_start,NAVER_high,NAVER_low,NAVER_abount
17/01/02,0,777000,0,0,1,0,0,778000,787000,775000,30777
17/01/03,1,767000,0,0,0,1,0,777000,777000,767000,51766
17/01/04,2,810000,1,0,0,0,0,775000,810000,771000,120359
17/01/05,3,791000,0,0,0,1,0,810000,810000,791000,68724
17/01/06,4,799000,0,1,0,0,0,791000,801000,786000,50269
17/01/09,0,779000,0,0,0,1,0,791000,799000,777000,76688
17/01/10,1,792000,0,1,0,0,0,787000,793000,779000,47372
17/01/11,2,796000,0,0,1,0,0,786000,802000,786000,48742
17/01/12,3,802000,0,0,1,0,0,799000,815000,796000,56389
17/01/13,4,790000,0,0,0,1,0,802000,805000,787000,68231
17/01/16,0,794000,0,0,1,0,0,792000,801000,774000,55042
17/01/17,1,795000,0,0,1,0,0,787000,797000,782000,50942
17/01/18,2,788000,0,0,1,0,0,800000,800000,787000,55176
17/01/19,3,801000,0,1,0,0,0,787000,806000,787000,67811
17/01/20,4,785000,0,0,0,1,0,797000,798000,785000,73435
17/01/23,0,771000,0,0,0,1,0,778000,779000,763000,90668
17/01/24,1,761000,0,0,0,1,0,771000,771000,760000,106880
17/01/25,2,763000,0,0,1,0,0,763000,768000,760000,119005
17/01/26,3,753000,0,0,0,1,0,751000,763000,736000,274419
17/01/31,1,758000,0,0,1,0,0,750000,767000,743000,127610
17/02/01,2,771000,0,1,0,0,0,761000,774000,760000,92541
17/02/02,3,772000,0,0,1,0,0,776000,780000,770000,121050
17/02/03,4,774000,0,0,1,0,0,770000,776000,767000,142414
17/02/06,0,779000,0,0,1,0,0,781000,781000,772000,127029
17/02/07,1,800000,0,1,0,0,0,778000,802000,775000,135111
17/02/08,2,795000,0,0,1,0,0,799000,799000,791000,77643
17/02/09,3,787000,0,0,0,1,0,788000,796000,783000,102023
17/02/10,4,795000,0,1,0,0,0,795000,795000,787000,67489
17/02/13,0,795000,0,0,1,0,0,800000,803000,788000,59380
17/02/14,1,770000,0,0,0,1,0,785000,790000,766000,119907
17/02/15,2,773000,0,0,1,0,0,769000,777000,768000,66435
17/02/16,3,777000,0,0,1,0,0,770000,777000,769000,73821
17/02/17,4,780000,0,0,1,0,0,773000,785000,772000,104341
17/02/20,0,781000,0,0,1,0,0,773000,784000,772000,75042
17/02/21,1,790000,0,1,0,0,0,778000,793000,776000,115574
17/02/22,2,797000,0,0,1,0,0,788000,800000,786000,107372
17/02/23,3,808000,0,1,0,0,0,805000,815000,804000,96955
17/02/24,4,803000,0,0,1,0,0,803000,807000,793000,77173
17/02/27,0,796000,0,0,1,0,0,800000,807000,792000,33895
17/02/28,1,776000,0,0,0,1,0,794000,800000,776000,97398
17/03/02,3,815000,1,0,0,0,0,799000,819000,790000,150962
17/03/03,4,809000,0,0,1,0,0,816000,839000,794000,98302
17/03/06,0,800000,0,0,0,1,0,810000,817000,795000,57995
17/03/07,1,799000,0,0,1,0,0,800000,806000,794000,48316
17/03/08,2,800000,0,0,1,0,0,798000,807000,791000,56378
17/03/09,3,789000,0,0,0,1,0,801000,806000,789000,75785
17/03/10,4,800000,0,1,0,0,0,789000,802000,783000,48907
17/03/13,0,826000,0,1,0,0,0,800000,833000,799000,83464
17/03/14,1,815000,0,0,0,1,0,827000,833000,811000,94487
17/03/15,2,820000,0,0,1,0,0,817000,826000,810000,40787
17/03/16,3,819000,0,0,1,0,0,834000,835000,817000,53315
17/03/17,4,827000,0,0,1,0,0,825000,833000,819000,59069
17/03/20,0,818000,0,0,0,1,0,830000,830000,810000,59293
17/03/21,1,871000,1,0,0,0,0,828000,872000,825000,150195
17/03/22,2,849000,0,0,0,1,0,870000,871000,846000,79212
17/03/23,3,864000,0,1,0,0,0,860000,872000,851000,80062
17/03/24,4,872000,0,0,1,0,0,864000,880000,864000,55786
17/03/27,0,885000,0,1,0,0,0,865000,892000,865000,60459
17/03/28,1,853000,0,0,0,1,0,885000,886000,851000,82475
17/03/29,2,864000,0,1,0,0,0,859000,865000,854000,58716
