date,weekdate,SKH_RU,SKH_U,SKH_UC,SKH_D,SKH_RD,SKH_end,SKH_start,SKH_high,SKH_low,SKH_abount
17/01/02,0,45800,0,1,0,0,0,44750,46000,44600,1547681
17/01/03,1,47250,0.5,0.5,0,0,0,46200,47300,46200,2655477
17/01/04,2,46500,0,0,0,1,0,47000,47150,46200,2722599
17/01/05,3,46950,0,0.5,0.5,0,0,47000,47500,46850,2377163
17/01/06,4,48000,0,1,0,0,0,47700,48450,47600,3166843
17/01/09,0,49550,0.5,0.5,0,0,0,48500,49750,48200,3871999
17/01/10,1,49750,0,0,1,0,0,49850,50200,49200,2561968
17/01/11,2,51600,0.5,0.5,0,0,0,50000,51900,50000,4360058
17/01/12,3,50600,0,0,0,1,0,51600,51600,50400,5060622
17/01/13,4,50300,0,0,0.5,0.5,0,49850,50700,49850,4219771
17/01/16,0,49300,0,0,0,1,0,50100,50300,48800,4974924
17/01/17,1,49300,0,0,1,0,0,49300,50200,49250,2309955
17/01/18,2,48850,0,0,0.5,0.5,0,48950,49400,48300,2974091
17/01/19,3,49600,0,1,0,0,0,49550,50100,49100,2332268
17/01/20,4,49150,0,0,0.5,0.5,0,49700,50100,49150,1943195
17/01/23,0,50800,0.5,0.5,0,0,0,49950,51000,49900,4148659
17/01/24,1,51600,0,1,0,0,0,51300,52000,51100,3449130
17/01/25,2,51700,0,0,1,0,0,52200,52500,51600,2715809
17/01/26,3,53300,0.5,0.5,0,0,0,52500,53500,52400,4517114
17/01/31,1,53700,0,0.5,0.5,0,0,53300,54500,52700,4118790
17/02/01,2,54000,0,0.5,0.5,0,0,54300,54900,53700,2813046
17/02/02,3,52800,0,0,0,1,0,53500,54000,52700,3486140
17/02/03,4,53700,0,1,0,0,0,52500,53700,51800,3718619
17/02/06,0,53700,0,0,1,0,0,54200,54400,53300,1897002
17/02/07,1,53300,0,0,0.5,0.5,0,53800,54500,53100,2405891
17/02/08,2,54600,0,1,0,0,0,53700,54600,52400,3552260
17/02/09,3,52700,0,0,0,0.5,0.5,53100,53700,52500,6547266
17/02/10,4,50000,0,0,0,0,1,52000,52200,50000,9120878
17/02/13,0,50700,0,1,0,0,0,49550,51000,49500,4124290
17/02/14,1,48450,0,0,0,0.5,0.5,51100,51600,48100,8593878
17/02/15,2,47900,0,0,0,1,0,48300,48700,47550,8725221
17/02/16,3,49600,0.5,0.5,0,0,0,48350,49550,48200,4840918
