date,weekdate,SamsungBL_RU,SamsungBL_U,SamsungBL_UC,SamsungBL_D,SamsungBL_RD,SamsungBL_end,SamsungBL_start,SamsungBL_high,SamsungBL_low,SamsungBL_abount
17/01/02,0,156500,0.5,0.5,0,0,0,151500,158000,151000,242245
17/01/03,1,158000,0,0.5,0.5,0,0,156500,158000,154500,163655
17/01/04,2,154500,0,0,0,1,0,159500,161000,154500,180143
17/01/05,3,157500,0,1,0,0,0,156000,158000,156000,96008
17/01/06,4,157500,0,0,1,0,0,158000,158500,155500,88105
17/01/09,0,154500,0,0,0,1,0,157500,158000,153000,124880
17/01/10,1,151000,0,0,0,1,0,154000,154000,150500,156701
17/01/11,2,159000,1,0,0,0,0,151500,161000,151500,353023
17/01/12,3,157000,0,0,0,1,0,157500,158500,154500,151742
17/01/13,4,153000,0,0,0,1,0,155000,158000,152500,185131
17/01/16,0,151500,0,0,0.5,0.5,0,154000,154500,151000,125534
17/01/17,1,152000,0,0,1,0,0,151000,154000,150000,110949
17/01/18,2,153000,0,0.5,0.5,0,0,153000,153500,152000,73671
17/01/19,3,152500,0,0,1,0,0,155500,156500,152000,96398
17/01/20,4,155000,0,1,0,0,0,152500,155500,152000,79754
17/01/23,0,155500,0,0,1,0,0,156000,156500,154000,89506
17/01/24,1,155000,0,0,1,0,0,155500,156000,152500,112281
17/01/25,2,155000,0,0,1,0,0,156000,156500,152500,140686
17/01/26,3,161000,0.5,0.5,0,0,0,156500,164000,155500,407193
17/01/31,1,161000,0,0,1,0,0,162000,164000,160500,228987
17/02/01,2,163000,0,1,0,0,0,162000,163000,159500,138216
17/02/02,3,171500,1,0,0,0,0,163500,173000,162500,597838
17/02/03,4,173000,0,0.5,0.5,0,0,173500,176500,171500,399421
17/02/06,0,168500,0,0,0,1,0,172000,172500,167000,251528
17/02/07,1,171500,0,1,0,0,0,168500,172500,167000,212751
17/02/08,2,163000,0,0,0,0.5,0.5,171500,172000,161500,374070
17/02/09,3,161000,0,0,0,1,0,163000,166000,160500,219373
17/02/10,4,158000,0,0,0,1,0,160000,161000,156000,704753
17/02/13,0,158000,0,0,1,0,0,156000,159500,155500,177206
17/02/14,1,156500,0,0,0.5,0.5,0,158000,159500,156500,150832
17/02/15,2,160500,0,1,0,0,0,156000,161500,156000,130426
17/02/16,3,159000,0,0,0.5,0.5,0,161000,162500,158500,132573
17/02/17,4,160500,0,0.5,0.5,0,0,155500,160500,155000,192999
17/02/20,0,161000,0,0,1,0,0,159500,161500,159000,76203
17/02/21,1,165500,0,1,0,0,0,161000,166000,160500,163959
17/02/22,2,165000,0,0,1,0,0,166500,167000,164000,106637
17/02/23,3,168000,0,1,0,0,0,165000,168000,165000,144561
17/02/24,4,165500,0,0,0,1,0,167500,168000,165000,84069
17/02/27,0,166500,0,0.5,0.5,0,0,167000,167500,164000,89333
17/02/28,1,164500,0,0,0,1,0,167000,168000,162500,151499
17/03/02,3,161500,0,0,0,1,0,165000,166000,161000,151100
17/03/03,4,162000,0,0,1,0,0,161500,163000,160500,73606
17/03/06,0,164500,0,1,0,0,0,162500,165500,162000,93995
17/03/07,1,168000,0,1,0,0,0,164500,168000,163500,137830
17/03/08,2,170000,0,1,0,0,0,169000,172000,168000,271238
17/03/09,3,168000,0,0,0,1,0,170000,171000,168000,109589
17/03/10,4,171000,0,1,0,0,0,168000,171000,167000,149330
17/03/13,0,173000,0,1,0,0,0,170000,173000,169500,137838
17/03/14,1,171000,0,0,0,1,0,172500,175000,170000,133248
17/03/15,2,173500,0,1,0,0,0,171000,173500,168500,133554
17/03/16,3,176500,0,1,0,0,0,174000,176500,174000,189001
17/03/17,4,180500,0,1,0,0,0,176000,181000,175500,302822
17/03/20,0,187500,0.5,0.5,0,0,0,180000,188000,177000,362620
17/03/21,1,193000,0,1,0,0,0,187500,199500,186500,495295
17/03/22,2,188000,0,0,0,1,0,189000,195000,186000,341350
17/03/23,3,187000,0,0,0.5,0.5,0,190000,193000,184000,282973
17/03/24,4,187500,0,0,1,0,0,187000,192000,185500,189997
17/03/27,0,182000,0,0,0,1,0,186500,187500,181000,176930
17/03/28,1,185000,0,1,0,0,0,184000,186500,182500,105091
17/03/29,2,183500,0,0,0.5,0.5,0,187000,188500,183000,119613
17/03/30,3,177000,0,0,0,0.5,0.5,177000,180000,173000,595964
17/03/31,4,173000,0,0,0,1,0,174500,175500,171000,387922
17/04/03,0,176000,0,1,0,0,0,171500,177500,171500,215082
17/04/04,1,177500,0,0.5,0.5,0,0,176000,177500,174000,110722
17/04/05,2,182000,0,1,0,0,0,177000,182000,176500,172926
17/04/06,3,181000,0,0,0.5,0.5,0,181000,182000,179000,133564
17/04/07,4,178000,0,0,0,1,0,181500,182000,177000,156795
17/04/10,0,173500,0,0,0,1,0,177000,177500,173500,136840
17/04/11,1,177000,0,1,0,0,0,174500,177500,174000,150062
17/04/12,2,180000,0,1,0,0,0,176500,180000,176000,130316
17/04/13,3,179500,0,0,1,0,0,181000,181000,178500,85096
17/04/14,4,179000,0,0,1,0,0,178500,180000,178000,54603
17/04/17,0,181000,0,1,0,0,0,179000,181500,179000,84139
17/04/18,1,182000,0,0.5,0.5,0,0,182500,182500,179500,74003
17/04/19,2,184000,0,1,0,0,0,182000,186000,181000,182207
17/04/20,3,183500,0,0,1,0,0,184500,185000,182000,86643
17/04/21,4,187000,0,1,0,0,0,185500,191000,184500,236304
17/04/24,0,183000,0,0,0,1,0,190000,190500,183000,265172
17/04/25,1,184000,0,0.5,0.5,0,0,184000,185000,181000,142184
17/04/26,2,181000,0,0,0,1,0,187000,187500,180500,253945
17/04/27,3,181500,0,0,1,0,0,182500,183500,181000,149292
17/04/28,4,175000,0,0,0,0.5,0.5,181500,182000,173500,368714
17/05/02,1,179000,0,1,0,0,0,175000,179500,175000,136537
17/05/04,3,180000,0,0.5,0.5,0,0,180000,180500,177000,140754
