date,weekdate,SamsungEU_end,SamsungEU_dpp,SamsungEU_start,SamsungEU_high,SamsungEU_low,SamsungEU_abount
17/01/02,0,1440000,0.49,1432000,1448000,1415000,10822
17/01/03,1,1439000,-0.07,1440000,1448000,1422000,23904
17/01/04,2,1440000,0.07,1451000,1452000,1425000,37092
17/01/05,3,1414000,-1.81,1430000,1433000,1411000,47714
17/01/06,4,1431000,1.20,1430000,1438000,1423000,24743
17/01/09,0,1472000,2.87,1446000,1472000,1442000,36678
17/01/10,1,1477000,0.34,1469000,1476000,1465000,32881
17/01/11,2,1537000,4.06,1488000,1540000,1480000,52422
17/01/12,3,1537000,0.00,1518000,1540000,1518000,32671
17/01/13,4,1486000,-3.32,1503000,1520000,1478000,42968
17/01/16,0,1466000,-1.35,1471000,1493000,1440000,34399
17/01/17,1,1476000,0.68,1460000,1488000,1452000,18608
17/01/18,2,1473000,-0.20,1476000,1493000,1459000,25931
17/01/19,3,1484000,0.75,1498000,1509000,1472000,35066
17/01/20,4,1471000,-0.88,1485000,1491000,1467000,14034
17/01/23,0,1508000,2.52,1470000,1515000,1466000,26563
17/01/24,1,1522000,0.93,1517000,1533000,1513000,52712
17/01/25,2,1582000,3.94,1532000,1582000,1531000,1587462
17/01/26,3,1615000,2.09,1584000,1618000,1582000,47524
17/01/31,1,1571000,-2.72,1613000,1614000,1571000,55798
17/02/01,2,1565000,-0.38,1571000,1586000,1561000,53250
17/02/02,3,1574000,0.58,1570000,1589000,1566000,39900
17/02/03,4,1566000,-0.51,1575000,1579000,1560000,37703
17/02/06,0,1577000,0.70,1573000,1577000,1544000,24920
17/02/07,1,1560000,-1.08,1577000,1577000,1550000,27968
17/02/08,2,1549000,-0.71,1558000,1558000,1526000,31196
17/02/09,3,1556000,0.45,1551000,1564000,1536000,26030
17/02/10,4,1537000,-1.22,1550000,1560000,1537000,25440
17/02/13,0,1523000,-0.91,1530000,1534000,1510000,22436
17/02/14,1,1519000,-0.26,1524000,1535000,1509000,39607
17/02/15,2,1514000,-0.33,1509000,1522000,1491000,42917
17/02/16,3,1523000,0.59,1510000,1528000,1510000,31379
17/02/17,4,1507000,-1.05,1500000,1517000,1489000,43641
