date,weekdate,SamsungE_RU,SamsungE_U,SamsungE_UC,SamsungE_D,SamsungE_RD,SamsungE_end,SamsungE_start,SamsungE_high,SamsungE_low,SamsungE_abount
17/01/02,0,1805000,0,0,1,0,0,1799000,1812000,1794000,93012
17/01/03,1,1824000,0,1,0,0,0,1814000,1831000,1801000,147153
17/01/04,2,1808000,0,0,0.5,0.5,0,1825000,1826000,1805000,159435
17/01/05,3,1778000,0,0,0,1,0,1803000,1803000,1777000,219349
17/01/06,4,1810000,0,1,0,0,0,1809000,1822000,1802000,177619
17/01/09,0,1861000,0,1,0,0,0,1830000,1875000,1828000,263898
17/01/10,1,1862000,0,0,1,0,0,1864000,1870000,1854000,181996
17/01/11,2,1914000,0,1,0,0,0,1876000,1928000,1871000,240363
17/01/12,3,1940000,0,1,0,0,0,1900000,1940000,1899000,233383
17/01/13,4,1873000,0,0,0,0.5,0.5,1905000,1916000,1873000,319089
17/01/16,0,1833000,0,0,0,1,0,1843000,1891000,1816000,332230
17/01/17,1,1848000,0,0.5,0.5,0,0,1829000,1873000,1829000,163014
17/01/18,2,1847000,0,0,1,0,0,1852000,1875000,1831000,177508
17/01/19,3,1874000,0,1,0,0,0,1886000,1896000,1851000,188378
17/01/20,4,1860000,0,0,0.5,0.5,0,1856000,1871000,1844000,183700
17/01/23,0,1903000,0,1,0,0,0,1860000,1903000,1850000,176208
17/01/24,1,1908000,0,0,1,0,0,1906000,1929000,1894000,220975
17/01/25,2,1970000,0.5,0.5,0,0,0,1917000,1970000,1916000,268677
17/01/26,3,1995000,0,1,0,0,0,1971000,2000000,1971000,304290
17/01/31,1,1973000,0,0,0,1,0,1995000,1995000,1973000,359844
17/02/01,2,1956000,0,0,0.5,0.5,0,1977000,1983000,1952000,283008
17/02/02,3,1968000,0,0.5,0.5,0,0,1980000,1983000,1960000,300586
17/02/03,4,1973000,0,0,1,0,0,1970000,1975000,1959000,207727
17/02/06,0,1978000,0,0,1,0,0,1979000,1983000,1957000,177214
17/02/07,1,1941000,0,0,0,1,0,1978000,1979000,1938000,280836
17/02/08,2,1920000,0,0,0,1,0,1937000,1939000,1910000,341859
17/02/09,3,1920000,0,0,1,0,0,1939000,1942000,1911000,273883
